TimeGenerated,InstanceName,AvgCPUUsageNanoCores
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/bac1b068-62e0-485d-b04d-190c8878a309/flux-logs-agent,71209.3
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/bac1b068-62e0-485d-b04d-190c8878a309/kube-rbac-proxy,11594.56667
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/cd6d0e73-f1c8-4916-954b-ef7deb400a93/postgresqldapper,767253.4333
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/80509c64-1d90-42f8-af35-7e2d49d09523/calico-extension,0
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/80509c64-1d90-42f8-af35-7e2d49d09523/calico-node,30712430.07
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/80509c64-1d90-42f8-af35-7e2d49d09523/install-cni,0
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/6afc0c95-fe2c-4a4e-9e98-98092f267b64/metrics-agent,151493.7667
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/6afc0c95-fe2c-4a4e-9e98-98092f267b64/fluent-bit,66640.53333
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/ea7aa2e8-0e41-457e-82d9-f168fff53f35/coredns,6071476.8
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/a4069128-9e5b-411f-9396-a04b4b9c37f7/kube-rbac-proxy,35462.63333
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/a4069128-9e5b-411f-9396-a04b4b9c37f7/fluent-bit,65122
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/a4069128-9e5b-411f-9396-a04b4b9c37f7/manager,1579732.1
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/9767be26-7935-43cb-bbc9-de16fb579900/omsagent,10345673.63
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/b5cfbf61-93cb-4eb9-b775-6e8b755baa99/fluent-bit,60333.8
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/b5cfbf61-93cb-4eb9-b775-6e8b755baa99/cluster-metadata-operator,405333.4
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/c24ea4b0-aedd-4503-9d3b-f8f665f2126c/coredns,6172070.067
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/29aa7e96-e383-4679-a105-d633edb8caa9/calico-kube-controllers,1384711.567
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/0593432f-b575-460d-a767-a3853836aa82/metrics-server,3721888.933
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/0593432f-b575-460d-a767-a3853836aa82/metrics-server-nanny,298388.8
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/4488877e-a5dd-4bcc-be23-326507964cba/flux,44858609.6
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/81aab161-917b-41d8-b547-162ab8978725/vpn,215081.0667
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/1365d456-a85b-4aae-a971-432ff2a7609d/dashboard-metrics-scraper,179281.9
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/1802f398-d59f-49dc-86e8-a36e7ff126c2/coredns,5940069.9
2020-07-22T02:00:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/830cc334-26d4-4a94-8181-e9303f1485ff/olm-operator,2075009.467
2020-07-22T02:30:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/4431a9b6-8a57-436e-aafa-f92b362a2e18/autoscaler,308611.8
2020-07-22T02:30:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/b5cfbf61-93cb-4eb9-b775-6e8b755baa99/cluster-metadata-operator,415908.4
2020-07-22T02:30:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/b5cfbf61-93cb-4eb9-b775-6e8b755baa99/fluent-bit,58951.96667
2020-07-22T02:30:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/7d0a830c-8324-45bb-a4a6-e857dba454dc/omsagent,11292456.47
2020-07-22T02:30:00Z,/subscriptions/05bc92a8-0ea0-4c4d-b5d7-cd6d9eefe888/resourceGroups/Azure_Arc_Training/providers/Microsoft.Kubernetes/connectedClusters/IBMCloudK8s/a4069128-9e5b-411f-9396-a04b4b9c37f7/kube-rbac-proxy,46117.16667
